"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
NAM-INDIA,Nippon Life India Asset Management Limited,7(2),Pawan Kumar Nyati,Employees/Designated Employees,Equity Shares,640,0,,5215,1056038,Buy,Equity Shares,5855,0,27-Jun-24,27-Jun-24,28-Jun-24,ESOP,-,-,0,0,0,0,NA,-,01-07-2024 17:53,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167424_1168102_01072024055259_WEB.xml
NAM-INDIA,Nippon Life India Asset Management Limited,7(2),Sanjiv Gudal,Employees/Designated Employees,Equity Shares,18110,0,,19132,4899705,Buy,Equity Shares,37242,0.01,27-Jun-24,27-Jun-24,27-Jun-24,ESOP,-,-,0,0,0,0,NA,-,01-07-2024 17:53,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167424_1168102_01072024055259_WEB.xml
NAM-INDIA,Nippon Life India Asset Management Limited,7(2),Sambasivarao Burle,Employees/Designated Employees,Equity Shares,Nil,0,,7194,2681276,Buy,Equity Shares,7194,0,27-Jun-24,27-Jun-24,01-Jul-24,ESOP,-,-,0,0,0,0,NA,-,01-07-2024 17:53,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167424_1168102_01072024055259_WEB.xml
NAM-INDIA,Nippon Life India Asset Management Limited,7(2),Anju Chhajer,Employees/Designated Employees,Equity Shares,51469,0.01,,26280,6053106,Buy,Equity Shares,77749,0.01,27-Jun-24,27-Jun-24,28-Jun-24,ESOP,-,-,0,0,0,0,NA,-,01-07-2024 17:53,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167424_1168102_01072024055259_WEB.xml
IDFC,IDFC Limited,7(3),Anagha Advisors LLP,-,Equity Shares,800000,0.05,,400000,48987428,Sell,Equity Shares,400000,0.03,28-Jun-24,28-Jun-24,01-Jul-24,Market Sale,-,-,0,0,0,0,NSE,-,01-07-2024 17:42,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167421_1168083_01072024054256_WEB.xml
SENCO,Senco Gold Limited,7(2),Puranjit Seal,Employees/Designated Employees,Equity Shares,2300,0,,1025,1024584,Sell,Equity Shares,1275,0,04-Jun-24,26-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,01-07-2024 17:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167419_1168046_01072024052521_WEB.xml
MTARTECH,Mtar Technologies Limited,7(2),A PRAVAL REDDY,Promoter Group,Equity Shares,Nil,0,,250000,0,Buy,Equity Shares,250000,0.81,28-Jun-24,28-Jun-24,29-Jun-24,Gift,-,-,0,0,0,0,NA,-,01-07-2024 17:13,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167417_1168025_01072024051334_WEB.xml
MTARTECH,Mtar Technologies Limited,7(2),A MANOGNA,Promoters,Equity Shares,1411889,4.59,,250000,0,Sell,Equity Shares,1161889,3.78,28-Jun-24,28-Jun-24,29-Jun-24,Gift,-,-,0,0,0,0,NA,-,01-07-2024 17:13,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167417_1168025_01072024051334_WEB.xml
PROZONER,Prozone Realty Limited,7(2),Salil Chaturvedi Family Trust,Promoter Group,Equity Shares,13732991,9,,500000,14911096,Sell,Equity Shares,13232991,8.67,27-Jun-24,27-Jun-24,01-Jul-24,Market Sale,-,-,0,0,0,0,NSE,-,01-07-2024 17:08,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167415_1168013_01072024050806_WEB.xml
FUSION,Fusion Micro Finance Limited,7(2),Tarun Mehndiratta,-,Equity Shares,129125,0.13,,5000,2240920,Sell,Equity Shares,124125,0.12,28-Jun-24,28-Jun-24,29-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,01-07-2024 16:39,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167413_1167968_01072024043900_WEB.xml
FOCUS,Focus Lighting and Fixtures Limited,7(2),FLFL Employee Welfare Trust,Employees/Designated Employees,Equity Shares,333750,0.05,,286000,3603600,Sell,Equity Shares,47750,0.07,28-Jun-24,28-Jun-24,01-Jul-24,ESOP,-,-,0,0,0,0,NSE,-,01-07-2024 16:20,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167410_1167931_01072024042004_WEB.xml
PANACEABIO,Panacea Biotec Limited,7(2),Sandeep Jain,Promoters,Equity Shares,9960046,16.26,,28920,3906734,Sell,Equity Shares,9931126,16.21,27-Jun-24,28-Jun-24,29-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,01-07-2024 16:07,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167407_1167919_01072024040713_WEB.xml
BESTAGRO,Best Agrolife Limited,7(2),VIKAS SOHANLAL JAIN,Key Managerial Personnel,Equity Shares,2550,0.01,,1000,692804,Buy,Equity Shares,3550,0.02,28-Jun-24,28-Jun-24,29-Jun-24,Market Purchase,-,-,0,0,0,0,NSE,-,01-07-2024 16:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167406_1167916_01072024040641_WEB.xml
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,7(2),ZUARI AGRO CHEMICALS LIMITED,Promoters,Equity Shares,64028362,54.03,,900000,111915000,Pledge,Equity Shares,64028362,54.03,27-Jun-24,27-Jun-24,28-Jun-24,Pledge Creation,-,-,0,0,0,0,NA,-,01-07-2024 15:54,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167403_1167902_01072024035450_WEB.xml
ASHIANA,Ashiana Housing Limited,7(2),Bhagwan Kumar,-,Equity Shares,24300,0.02,,3000,1256000,Buy,Equity Shares,27300,0.03,28-Jun-24,28-Jun-24,29-Jun-24,Market Purchase,-,-,0,0,0,0,NSE,-,01-07-2024 15:38,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167401_1167881_01072024033820_WEB.xml
ASHIANA,Ashiana Housing Limited,7(2),Bhagwan Kumar,-,Equity Shares,23300,0.02,,1000,418500,Buy,Equity Shares,24300,0.02,27-Jun-24,27-Jun-24,29-Jun-24,Market Purchase,-,-,0,0,0,0,NSE,-,01-07-2024 15:38,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167401_1167881_01072024033820_WEB.xml
FSL,Firstsource Solutions Limited,7(2),Arun Tyagi,Employees/Designated Employees,Equity Shares,96250,0,,16250,3477500,Sell,Equity Shares,80000,0,25-Jun-24,25-Jun-24,27-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,01-07-2024 15:18,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167400_1167859_01072024031850_WEB.xml
SHRENIK,Shrenik Limited,7(2),Shrenik Sudhir Vimawala,Promoters,Equity Shares,186182762,30.42,,600000,580000,Pledge Invoke,Equity Shares,185582762,30.32,19-Jun-24,27-Jun-24,01-Jul-24,Invocation of pledge,-,-,0,0,0,0,NSE,-,01-07-2024 15:14,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167398_1167850_01072024031400_WEB.xml
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,7(2),ZUARI AGRO CHEMICALS LIMITED,Promoters,Equity Shares,64028362,54.03,,900000,114615000,Pledge,Equity Shares,64028362,54.03,26-Jun-24,26-Jun-24,28-Jun-24,Pledge Creation,-,-,0,0,0,0,NA,-,01-07-2024 14:15,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167395_1167793_01072024021540_WEB.xml
STEELXIND,STEEL EXCHANGE INDIA LIMITED,7(2),UMASHIV GARMENTS PVT LTD,Promoter Group,Equity Shares,216112650,18.04,,10000000,149623299,Sell,Equity Shares,206112650,17.21,27-Jun-24,27-Jun-24,27-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,01-07-2024 13:30,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167393_1167763_01072024013048_WEB.xml
STEELXIND,STEEL EXCHANGE INDIA LIMITED,7(2),UMASHIV GARMENTS PVT LTD,Promoter Group,Equity Shares,216112650,18.04,,10000000,146200000,Pledge Revoke,Equity Shares,216112650,18.04,27-Jun-24,27-Jun-24,27-Jun-24,Revokation of Pledge,-,-,0,0,0,0,NA,-,01-07-2024 13:29,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167392_1167760_01072024012920_WEB.xml
OMINFRAL,OM INFRA LIMITED,7(2),JYOTI KOTHARI,Promoters,Equity Shares,544900,0.57,,312380,52323650,Sell,Equity Shares,232520,0.24,28-Jun-24,28-Jun-24,29-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,01-07-2024 13:11,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167389_1167751_01072024011145_WEB.xml
GOCOLORS,Go Fashion (India) Limited,7(2),GAUTAM SARAOGI,Promoters,Equity Shares,9932320,18.39,,308000,325140200,Pledge Revoke,Equity Shares,9932320,18.39,25-Jun-24,25-Jun-24,27-Jun-24,Revokation of Pledge,-,-,0,0,0,0,NA,-,01-07-2024 13:09,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167387_1167746_01072024010915_WEB.xml
GOCOLORS,Go Fashion (India) Limited,7(2),RAHUL SARAOGI,Promoters,Equity Shares,9932320,18.39,,308000,323261400,Pledge,Equity Shares,9932320,18.39,26-Jun-24,26-Jun-24,27-Jun-24,Pledge Creation,-,-,0,0,0,0,NA,-,01-07-2024 13:09,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167387_1167746_01072024010915_WEB.xml
IONEXCHANG,ION Exchange (India) Limited,7(2),Bimal Jain,Promoter Group,Equity Shares,3936662,2.68,,59477,30854042,Sell,Equity Shares,3877185,2.64,18-Jun-24,26-Jun-24,27-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,01-07-2024 12:36,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167385_1167718_01072024123652_WEB.xml
PROZONER,Prozone Realty Limited,7(2),MR. AKHIL CHATURVEDI (In his capacity as Trustee of AKHIL  CHATURVEDI FAMILY TRUST),Promoter Group,Equity Shares,1140536,0.75,,28831,1201353,Sell,Equity Shares,1111705,0.73,12-Jun-24,28-Jun-24,01-Jul-24,Market Sale,-,-,0,0,0,0,NSE,-,01-07-2024 12:35,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167383_1167715_01072024123553_WEB.xml
SMSLIFE,SMS Lifesciences India Limited,7(2),TV Praveen,Promoter Group,Equity Shares,125790,4.16,,6367,5264263,Buy,Equity Shares,132157,4.37,27-Jun-24,28-Jun-24,01-Jul-24,Market Purchase,-,-,0,0,0,0,"BSE,NSE",-,01-07-2024 12:32,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167382_1167709_01072024123225_WEB.xml
IONEXCHANG,ION Exchange (India) Limited,7(2),Mahabir Prasad Patni,Promoter Group,Equity Shares,7113474,4.85,,77500,43864758,Sell,Equity Shares,7035974,4.8,27-Jun-24,28-Jun-24,29-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,01-07-2024 12:31,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167381_1167704_01072024123152_WEB.xml
POWERMECH,Power Mech Projects Limited,7(2),Sajja Vignatha,Promoters,Equity Shares,1048654,6.63,,600,2989742,Sell,Equity Shares,1048054,6.62,28-Jun-24,28-Jun-24,29-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,01-07-2024 12:31,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167380_1167702_01072024123143_WEB.xml
STEL,Stel Holdings Limited,7(2),DIGIDRIVE DISTRIBUTORS LTD,Promoter Group,Equity Shares,15107,0.08,,944,414987,Buy,Equity Shares,16051,0.09,27-Jun-24,27-Jun-24,28-Jun-24,Market Purchase,-,-,0,0,0,0,BSE,-,01-07-2024 12:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167375_1167694_01072024122551_WEB.xml
STEL,Stel Holdings Limited,7(2),DIGIDRIVE DISTRIBUTORS LTD,Promoter Group,Equity Shares,7868,0.04,,250,109773,Buy,Equity Shares,8118,0.04,26-Jun-24,26-Jun-24,28-Jun-24,Market Purchase,-,-,0,0,0,0,BSE,-,01-07-2024 12:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167375_1167694_01072024122551_WEB.xml
STEL,Stel Holdings Limited,7(2),DIGIDRIVE DISTRIBUTORS LTD,Promoter Group,Equity Shares,6533,0.04,,1335,585951,Buy,Equity Shares,7868,0.04,26-Jun-24,26-Jun-24,28-Jun-24,Market Purchase,-,-,0,0,0,0,NSE,-,01-07-2024 12:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167375_1167694_01072024122551_WEB.xml
STEL,Stel Holdings Limited,7(2),DIGIDRIVE DISTRIBUTORS LTD,Promoter Group,Equity Shares,8118,0.04,,6989,3082371,Buy,Equity Shares,15107,0.08,27-Jun-24,27-Jun-24,28-Jun-24,Market Purchase,-,-,0,0,0,0,NSE,-,01-07-2024 12:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167375_1167694_01072024122551_WEB.xml
IONEXCHANG,ION Exchange (India) Limited,7(2),Mahabir Prasad Patni,Promoters,Equity Shares,7178474,4.89,,65000,34032980,Sell,Equity Shares,7113474,4.85,18-Jun-24,26-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,01-07-2024 12:22,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167373_1167688_01072024122222_WEB.xml
RILINFRA,Rachana Infrastructure Limited,7(2),BHAMINI INFRASTRUCTURE PRIVATE LIMITED,Promoter Group,Equity Shares,539000,2.9,,5000,363000,Sell,Equity Shares,534000,2.87,28-Jun-24,28-Jun-24,01-Jul-24,Market Sale,-,-,0,0,0,0,NSE,-,01-07-2024 12:12,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167370_1167677_01072024121249_WEB.xml
ECLERX,eClerx Services Limited,7(2),Eclerx Employee Welfare Trust,Other,Equity Shares,700268,1.43,,2872,6949191,Buy,Equity Shares,703140,1.43,28-Jun-24,28-Jun-24,28-Jun-24,Market Purchase,-,-,0,0,0,0,NSE,-,01-07-2024 11:49,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167367_1167648_01072024114908_WEB.xml
ECLERX,eClerx Services Limited,7(2),Eclerx Employee Welfare Trust,Other,Equity Shares,697400,1.42,,2868,6949218,Buy,Equity Shares,700268,1.43,27-Jun-24,27-Jun-24,28-Jun-24,Market Purchase,-,-,0,0,0,0,NSE,-,01-07-2024 11:49,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167367_1167648_01072024114908_WEB.xml
FUSION,Fusion Micro Finance Limited,7(2),MANISH KUMAR PANDEY,-,Equity Shares,19440,0.02,,2000,580960,Buy,Equity Shares,21440,0.02,28-Jun-24,28-Jun-24,29-Jun-24,ESOP,-,-,0,0,0,0,NA,-,01-07-2024 11:22,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167365_1167635_01072024112216_WEB.xml
FUSION,Fusion Micro Finance Limited,7(2),ANSHUMAN KUMAR,-,Equity Shares,300,0,,1875,624565,Buy,Equity Shares,2175,0,28-Jun-24,28-Jun-24,29-Jun-24,ESOP,-,-,0,0,0,0,NA,-,01-07-2024 11:22,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167365_1167635_01072024112216_WEB.xml
FUSION,Fusion Micro Finance Limited,7(2),DHANRAJ MANI,-,Equity Shares,109,0,,800,232384,Buy,Equity Shares,909,0,28-Jun-24,28-Jun-24,29-Jun-24,ESOP,-,-,0,0,0,0,NA,-,01-07-2024 11:22,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167365_1167635_01072024112216_WEB.xml
FUSION,Fusion Micro Finance Limited,7(2),SANJAY VISHWANATH CHAUDHARY,-,Equity Shares,200,0,,6250,1815500,Buy,Equity Shares,6450,0.01,28-Jun-24,28-Jun-24,29-Jun-24,ESOP,-,-,0,0,0,0,NA,-,01-07-2024 11:22,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167365_1167635_01072024112216_WEB.xml
FUSION,Fusion Micro Finance Limited,7(2),SHIV SHANKAR VISHWAKARMA,-,Equity Shares,400,0,,1000,290480,Buy,Equity Shares,1400,0,28-Jun-24,28-Jun-24,29-Jun-24,ESOP,-,-,0,0,0,0,NA,-,01-07-2024 11:22,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167365_1167635_01072024112216_WEB.xml
FUSION,Fusion Micro Finance Limited,7(2),PRAMENDRA SINGH KUSHWAHA,-,Equity Shares,1750,0,,625,204700,Buy,Equity Shares,2375,0,28-Jun-24,28-Jun-24,29-Jun-24,ESOP,-,-,0,0,0,0,NA,-,01-07-2024 11:22,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167365_1167635_01072024112216_WEB.xml
SHIVALIK,Shivalik Rasayan Limited,7(2),Manju Bansal,Immediate relative,Equity Shares,46500,0.29,,21500,0,Sell,Equity Shares,25000,0.16,28-Jun-24,28-Jun-24,28-Jun-24,Gift,-,-,0,0,0,0,NA,-,01-07-2024 11:21,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167364_1167633_01072024112121_WEB.xml
VIPULLTD,Vipul Limited,7(2),PUNIT BERIWALA,Promoters,Equity Shares,30835000,21.88,,5596134,5596134,Sell,Equity Shares,25238866,17.91,28-Jun-24,28-Jun-24,29-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,01-07-2024 11:03,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167360_1167623_01072024110314_WEB.xml
ETHOSLTD,Ethos Limited,7(2),NAGARAJAN SUBRAMANIAN AND GITA NAGARAJAN,Other,Equity Shares,29066,0.12,,134,388466,Sell,Equity Shares,28932,0.12,28-Jun-24,28-Jun-24,29-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,01-07-2024 10:53,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167358_1167616_01072024105305_WEB.xml
ETHOSLTD,Ethos Limited,7(2),NAGARAJAN SUBRAMANIAN AND GITA NAGARAJAN,Other,Equity Shares,30056,0.12,,990,2837340,Sell,Equity Shares,29066,0.12,27-Jun-24,27-Jun-24,29-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,01-07-2024 10:53,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167358_1167616_01072024105305_WEB.xml
KCP,KCP Limited,7(2),SUBBARAO VALLABHANENI,Promoter Group,Equity Shares,190900,0.11,,50000,9000000,Sell,Equity Shares,140900,0.11,05-Jun-24,05-Jun-24,01-Jul-24,Off Market,-,-,0,0,0,0,NA,-,01-07-2024 10:27,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167356_1167603_01072024102727_WEB.xml
GODIGIT,Go Digit General Insurance Limited,7(2),Kunal Kishore Jha,Employees/Designated Employees,Equity Shares,73457,0.01,,20000,6688852,Sell,Equity Shares,53457,0.01,27-Jun-24,27-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,01-07-2024 09:52,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167354_1167588_01072024095208_WEB.xml
CTE,Cambridge Technology Enterprises Limited,7(2),Nitin Tyagi,Employees/Designated Employees,Equity Shares,59203,0.3,,50000,6360894,Sell,Equity Shares,9203,0.05,28-Jun-24,28-Jun-24,29-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,30-06-2024 12:29,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167352_1167478_30062024122954_WEB.xml
MAANALU,Maan Aluminium Limited,7(2),Ashish Rajesh Jain,Director,Equity Shares,91022,0.17,,51022,7375945,Sell,Equity Shares,40000,0.07,26-Jun-24,28-Jun-24,29-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,29-06-2024 21:50,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167350_1167436_29062024095015_WEB.xml
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,7(2),Mr. Ramanujan Krishnakumar,Director,Equity Shares,186452,0.12,,2330,263290,Sell,Equity Shares,184122,0.12,26-Jun-24,26-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,29-06-2024 19:27,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167346_1167391_29062024072742_WEB.xml
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,7(2),Thiyaku N,-,Equity Shares,77953,0.05,,16938,1938644,Sell,Equity Shares,61015,0.04,26-Jun-24,27-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,29-06-2024 19:27,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167346_1167391_29062024072742_WEB.xml
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,7(2),ICAN INVESTMENT ADVISORS PRIVATE LIMITED,Director,Equity Shares,906407,0.62,,527359,59915269,Sell,Equity Shares,379048,0.26,27-Jun-24,28-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,29-06-2024 19:27,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167346_1167391_29062024072742_WEB.xml
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,7(2),Syed Mohsin Ali Naqvi,Director,Equity Shares,10000,0.01,,5541,635131,Sell,Equity Shares,4459,0.01,26-Jun-24,27-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,29-06-2024 19:27,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167346_1167391_29062024072742_WEB.xml
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,7(2),Mr. Ramanujan Krishnakumar,Director,Equity Shares,184122,0.12,,55000,6280000,Sell,Equity Shares,129122,0.08,27-Jun-24,27-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,29-06-2024 19:27,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167346_1167391_29062024072742_WEB.xml
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,7(2),Premranjan Sevasaran Singh,-,Equity Shares,230100,0.15,,5000,575550,Sell,Equity Shares,225100,0.15,27-Jun-24,27-Jun-24,27-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,29-06-2024 19:27,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167346_1167391_29062024072742_WEB.xml
NDL,Nandan Denim Limited,7(2),DEVKINANDAN CORPORATION LLP,Promoter Group,Equity Shares,9253092,6.42,,540000,25920000,Sell,Equity Shares,8713092,6.04,28-Jun-24,28-Jun-24,29-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,29-06-2024 18:41,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167344_1167370_29062024064125_WEB.xml
NDL,Nandan Denim Limited,7(2),VEDPRAKASH CHIRIPAL,Promoter Group,Equity Shares,7045386,4.89,,5012124,240390489,Sell,Equity Shares,2033262,1.41,28-Jun-24,28-Jun-24,29-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,29-06-2024 18:38,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167342_1167365_29062024063826_WEB.xml
SALASAR,Salasar Techno Engineering Limited,7(2),BASE ENGINEERING LLP,Promoter Group,Equity Shares,34024784,1.97,,3864441,74339482,Sell,Equity Shares,30160343,1.75,25-Jun-24,26-Jun-24,27-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,29-06-2024 18:32,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167340_1167357_29062024063239_WEB.xml
SALASAR,Salasar Techno Engineering Limited,7(2),KAMLESH GUPTA,Promoter Group,Equity Shares,42392963,2.46,,2392963,44029562,Sell,Equity Shares,40000000,2.32,28-Jun-24,28-Jun-24,29-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,29-06-2024 18:32,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167340_1167357_29062024063239_WEB.xml
SALASAR,Salasar Techno Engineering Limited,7(2),KAMLESH GUPTA,Promoter Group,Equity Shares,47860000,2.77,,5467037,104448695,Sell,Equity Shares,42392963,2.46,25-Jun-24,27-Jun-24,27-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,29-06-2024 18:32,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167340_1167357_29062024063239_WEB.xml
LALPATHLAB,Dr. Lal Path Labs Ltd.,7(2),AMIT AGGARWAL,Employees/Designated Employees,Equity Shares,1200,0,,1000,2746129,Sell,Equity Shares,200,0,13-Jun-24,26-Jun-24,27-Jun-24,Market Sale,-,-,0,0,0,0,BSE,-,29-06-2024 17:50,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167336_1167306_29062024055022_WEB.xml
LALPATHLAB,Dr. Lal Path Labs Ltd.,7(2),Rahul Sharma,Director,Equity Shares,31000,0.04,,5000,13917910,Sell,Equity Shares,26000,0.03,27-Jun-24,28-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,29-06-2024 17:50,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167336_1167306_29062024055022_WEB.xml
SHEKHAWATI,Shekhawati Industries Limited,7(2),SKI BUILDCON PRIVATE LIMITED,Promoter Group,Equity Shares,34000000,9.86,,1500000,6660000,Buy,Equity Shares,35500000,10.29,28-Jun-24,28-Jun-24,29-Jun-24,Inter-se-Transfer,-,-,0,0,0,0,NA,-,29-06-2024 17:23,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167334_1167279_29062024052352_WEB.xml
SHEKHAWATI,Shekhawati Industries Limited,7(2),MUKESH RAMNIRANJAN RUIA HUF,Promoter Group,Equity Shares,16000000,4.64,,1500000,6660000,Sell,Equity Shares,14500000,4.2,28-Jun-24,28-Jun-24,29-Jun-24,Inter-se-Transfer,-,-,0,0,0,0,NA,-,29-06-2024 17:23,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167334_1167279_29062024052352_WEB.xml
ALKYLAMINE,Alkyl Amines Chemicals Limited,7(2),Rakesh Goyal,Director,Equity Shares,13196,0.02,,1850,3931250,Sell,Equity Shares,11346,0.02,26-Jun-24,26-Jun-24,27-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,29-06-2024 17:07,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167332_1167263_29062024050739_WEB.xml
ELIN,Elin Electronics Limited,7(2),NAMRATA SETHIA,Immediate relative,Equity Shares,262313,0.53,,32752,6507246,Buy,Equity Shares,295065,0.59,28-Jun-24,28-Jun-24,29-Jun-24,Market Purchase,-,-,0,0,0,0,NSE,-,29-06-2024 16:26,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167329_1167214_29062024042631_WEB.xml
ASTRAL,Astral Limited,7(2),Pritesh Nareshbhai Shah,Employees/Designated Employees,Equity Shares,5307,0,,1100,2671100,Sell,Equity Shares,4207,0,26-Jun-24,26-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,29-06-2024 16:20,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167326_1167205_29062024042037_WEB.xml
