Name,NSE Symbol,BSE Code,_id,Market Capitalization,Close Price,Industry,Sector,Price To Earnings,Price To Sales,Revenue Growth TTM,PAT Growth TTM,PAT Growth QoQ,Price To Book Value,Returns 1W,Returns 1M,Returns 3M,Returns 6M,Strength Vs Nifty 500 Monthly,SMA 20D,EV To EBITDA,Fixed Assets 3 Years Back,52WH Distance,52WL,Strength Vs Nifty 500 Weekly,Debt To Equity,Debt To Equity 3 Years Back,Change In DII Holdings 1 Year,Change In FII Holdings 1 Year,Promoter Holdings,Change In Promoter Holdings 1 Year,ROCE,PBT Growth TTM,Fixed Assets Latest Year
Khaitan Chemicals & Fertilizers Ltd,KHAICHEM,507794,KHAICHEM,792,81.71,Fertilizers - Phosphatic - Single Super Phosphate,Fertilizers,null,1.58,-40,-389,55.3,3.6,-0.41,-4.35,23.1,18.1,-19,86,-30.1,99.5,18.2,64.1,-2,1.43,0.45,0,0.09,75,0,-7.48,-351,132
Khazanchi Jewellers Ltd,null,543953,543953,1346,543.8,Trading - Medium / Small,Trading,49.4,null,null,null,232,7.16,7.45,9.28,31,77.7,null,518,32.6,8.85,2.72,202.65,2,0.28,2.94,null,null,74.5,null,0,null,15.4
Kilburn Engineering Ltd,null,522101,522101,1956,432.1,Engineering - Heavy - General - Medium / Small,Capital Goods-Non Electrical Equipment,45.2,6.74,21.3,25.9,-12.6,7.9,-0.53,-2.46,2.94,50.4,24,450,27.9,44.8,13.6,163.8,109,0.3,1.8,-0.35,0.35,50.1,-3.79,20.5,35.8,50.9
Kilitch Drugs (India) Ltd,KILITCH,524500,KILITCH,624,388.05,Pharmaceuticals - Indian - Formulations,Pharmaceuticals,49.6,4.13,5.59,10.3,-97,3.53,14,19.9,17.2,6.33,11,349,24.5,30,17.4,230.75,53,0.18,0.11,0,0,69.2,0.99,12.2,22.1,62
Kimia Biosciences Ltd,null,530313,530313,251,53,Pharmaceuticals - Indian - Bulk Drugs,Pharmaceuticals,null,2.44,-11.2,91.3,-20,757,6.34,3.92,-4.45,1.01,5,51.6,44.3,17.8,9.25,36.11,0,132,2.29,0,0,74.9,0,-4.17,89.1,33.6
Kinetic Engineering Ltd,null,500240,500240,410,185.15,Auto Ancillaries - Others,Auto Ancillaries,97.4,2.72,null,null,-48.1,10.5,-3.69,-4.86,4.31,21.9,0,191,28.4,null,21.5,130,0,0.56,null,0,7.9,59.3,4.67,10.6,null,63.7
Kingfa Science & Technology (India) Ltd,KINGFA,524019,KINGFA,4224,3488.2,Plastics - Others,Plastic products,33.5,2.7,12.2,11.4,16.5,7.18,-0.12,20.2,61.1,105,0,3395,21.5,129,6.59,1637.55,2,0.06,0.2,0,0,75,0,27.3,11.1,252
Kings Infra Ventures Ltd,null,530215,530215,408,166.6,Aquaculture,Miscellaneous,47.7,4.18,37.9,23.1,51.5,7.06,0.57,-1.19,5.91,-5.45,0,167,27.3,1.87,29.6,130,-6,0.64,0.59,0,0,68.8,-2.91,14.7,22.7,20.9
Kiran Vyapar Ltd,null,537750,537750,535,196.05,NBFC-Others,Finance,9.2,5.7,2.18,-5.28,486,0.3,1.16,4.28,17,11.6,-17,195,7.29,41.2,6.2,144.75,-2,0.05,0.03,0,0,75,0,3.93,-3.47,23.1
Kiri Industries Ltd,KIRIINDUS,532967,KIRIINDUS,1933,372.85,Dyes And Pigments - Large,Chemicals,9.05,1.96,10,20,85.7,0.69,-1.89,8.06,10.4,12.8,-5,382,176,563,17.6,267.7,0,0.04,0.07,-0.13,-7.08,26.7,0,-1.78,24,470
Kirloskar Brothers Ltd,KIRLOSBROS,500241,KIRLOSBROS,12811,1613.35,Pumps,Capital Goods-Non Electrical Equipment,36.8,3.1,7.46,24.6,-50.5,7.47,-2.27,-18.8,-26,54,18,1748,21.7,478,39.9,830,83,0.11,0.3,0.91,3.25,66,0,25.4,24.7,634
Kirloskar Electric Company Ltd,KECL,533193,KECL,1297,195.26,Electric Equipment - General - Medium / Small,Capital Goods - Electrical Equipment,91.2,2.26,17.2,-62.2,-64.4,15.7,1.71,-8.75,-5.41,80.5,35,204,31.3,479,23.4,106.9,19,1.54,5.33,0.06,2.87,49.5,0,18.5,-62.2,438
Kirloskar Ferrous Industries Ltd,KIRLFER,500245,KIRLFER,9701,695.6,Steel - Pig Iron,Steel,36.2,1.57,-3.56,-36,293,3.01,2.33,-3.46,-2.34,37.5,4,698,13.5,null,16.2,451.75,17,0.54,null,1.76,0.31,56.4,-0.16,18.2,-23.6,3219
Kirloskar Industries Ltd,KIRLOSIND,500243,KIRLOSIND,5428,5452.5,Finance - Investment / Others,Finance,25.1,0.85,-0.86,-26.2,-6.48,1.09,0.83,-6.5,-14.1,35.6,24,5694,7.41,1039,18.6,2985,103,0.26,0.14,0,0.14,71.4,-0.36,12,-24.1,3243
Kirloskar Oil Engines Ltd,KIRLOSENG,533293,KIRLOSENG,18598,1281.7,Engines,Capital Goods-Non Electrical Equipment,38.7,3.1,11.4,25.6,6.57,6.97,-0.08,0.93,-4.29,50.1,23,1319,20.1,698,11.6,491.6,106,1.55,0.44,-3.14,3.81,41.2,-0.04,13.5,26.8,769
Kirloskar Pneumatic Company Ltd,KIRLPNU,505283,KIRLPNU,8603,1327,Compressors / Drilling Equipment,Capital Goods-Non Electrical Equipment,57.9,6.34,12.2,29.1,-55.3,9.28,4.3,-1.63,-4.15,103,4,1289,37.1,175,8.57,555.5,20,0,0.07,0.66,3.54,38.9,-0.09,19.2,37.2,232
Kisan Mouldings Ltd,null,530145,530145,860,72.03,Plastics - Pipes,Plastic products,null,3.37,-11.1,246,-96.7,5.63,-3.45,14.2,-9.65,39.3,14,67.9,11.4,117,22.9,11.7,50,0.01,2.49,-0.01,-0.34,66,22.2,-12.6,62.4,141
Kitex Garments Ltd,KITEX,521248,KITEX,3528,530.55,Textiles - Readymade Apparel,Readymade Garments/ Apparells,46.5,5.33,46.1,165,35.2,3.9,8.63,63.8,152,180,0,416,28.6,234,2.11,185.7,4,0.75,0.15,0,0.14,56.7,0,5.53,182,264
Knowledge Marine & Engineering Works Ltd,null,543273,543273,1932,1789.05,Ship - Breaking / Repairing,Ship Building,49.7,11.8,-18.8,-30.1,-64.9,11.5,18.4,52.9,24.5,32.6,-4,1491,36.9,27.8,4.33,1130,-21,0.36,0.59,2.18,0.58,60.6,-6.48,20.6,-27.5,107
Kody Technolab Ltd,KODYTECH,null,KODYTECH,2473,3880.3,Computers - Software - Medium / Small,IT - Software,506,110,104,67.5,411,66.7,14.5,6.8,42.9,308,null,3610,340,0.12,7.06,178.5,null,0.03,-0.88,null,null,73,null,18,63.5,6.19
Kokuyo Camlin Ltd,KOKUYOCMLN,523207,KOKUYOCMLN,2122,211.54,Printing & Stationery,Printing & Stationery,50.9,2.63,-0.74,20.9,55.9,7.17,-0.46,24.7,40,87.7,0,203,27,165,2.87,113.35,1,0.27,0.29,0,-0.18,75,0,16.9,13.2,161
Kolte Patil Developers Ltd,KOLTEPATIL,532924,KOLTEPATIL,3166,416.55,Construction - Factories / Offices / Commercial,Realty,null,2.77,-38.6,-181,124,4.31,1.42,16.1,-5.93,-2.82,-2,418,-224,267,28.8,362.35,-14,1.52,0.76,2.44,2.96,69.4,-5,1.39,-156,119
Konstelec Engineers Ltd,KONSTELEC,null,KONSTELEC,269,178.15,Engineering - Turnkey Services,Infrastructure Developers & Operators,31.5,1.25,null,null,109,2.86,-2.94,0.93,-9.22,7.68,null,185,14.4,7.76,44.8,165,null,0.48,0.5,null,null,66.8,null,13.9,null,8.6
Kopran Ltd,KOPRAN,524280,KOPRAN,1684,349.35,Pharmaceuticals - Indian - Bulk Drugs & Formln M/S,Pharmaceuticals,28.4,2.64,17.7,165,-40.4,3.43,0.92,27.1,34.8,34.5,0,321,17.4,112,5.5,201.7,1,0.2,0.26,0,0.34,44.5,0,12.9,165,182
Kore Digital Ltd,KDL,null,KDL,1038,2589.1,Transmisson Line Towers / Equipment,Telecomm Equipment & Infra Services,63,6.83,null,null,18,14.1,4.94,36.9,101,139,null,2396,61,0.33,9.35,294.25,10,0.01,0.64,0,0,62.7,-8.69,21.8,null,10.2
Kotak Mahindra Bank Ltd,KOTAKBANK,500247,KOTAKBANK,364084,1831.3,Banks - Private Sector,Banks,19.5,6.15,29.1,31.5,41.1,2.8,2.3,3.04,6.64,5.35,-15,1798,15.5,2554,4.94,1587.9,-70,0,3.85,8.12,-6.72,25.9,-0.04,2.01,30.4,3510
Kothari Petrochemicals Ltd,KOTHARIPET,null,KOTHARIPET,1362,231.47,Petrochemicals - Others,Petrochemicals,20.1,2.27,7.54,30.3,27.5,5.54,-4.94,32.6,71.8,92.7,13,227,13.5,80.1,13.4,119.7,59,0,0.03,0,0.02,71,0,39,28.1,115
Kothari Products Ltd,KOTHARIPRO,530299,KOTHARIPRO,507,169.77,Trading - Medium / Small,Trading,19.4,0.5,-15.2,76.4,-53.9,0.42,-0.63,-7.42,29.3,41.8,0,178,16.7,26.6,25.4,115.85,0,0.07,0.97,0,0,75,0,3.09,28.1,8.79
Kothari Sugars & Chemicals Ltd,KOTARISUG,null,KOTARISUG,468,56.5,Sugar - Integrated,Sugar,42.5,1.09,-30.4,-70,-109,1.68,2.56,5.21,-11.2,8.24,-1,56,16.3,161,21.2,49.85,-8,0.25,0.19,-0.17,-0.01,73.5,0,13,-70.4,163
Kotyark Industries Ltd,KOTYARK,null,KOTYARK,913,888.45,Miscellaneous - Medium / Small,Miscellaneous,40.2,3.36,null,null,-11.1,6.35,-7.19,6.06,-9.04,-14.1,0,903,22.5,null,43.8,584.95,49,0.47,null,0,0.94,67.7,-4.57,17.5,null,73.7
Kovai Medical Center & Hospital Ltd,KOVAI,523323,KOVAI,6101,5575.3,Hospitals / Medical Services,Healthcare,31.3,4.85,19.1,57.7,-12.3,6.87,3.51,12.1,28.5,55.2,18,5532,16.4,1033,3.37,2564.95,83,0.35,1.22,2.37,-1.88,56.5,0.23,22.6,56.7,1118
Krebs Biochemicals & Industries Ltd,KREBSBIO,524518,KREBSBIO,211,97.68,Pharmaceuticals - Indian - Bulk Drugs,Pharmaceuticals,null,4,1.15,10.5,11.6,-1.77,20.4,24.7,34.2,44.6,0,84.9,-33.8,118,19.6,63.7,0,-1.62,-2.59,0,0,72.7,0,-12,10.5,150
Krishana Phoschem Ltd,KRISHANA,null,KRISHANA,1497,247.22,Fertilizers - Phosphatic - Single Super Phosphate,Fertilizers,33.3,1.44,146,38.5,194,5,-1.32,-4.99,-14,-4.18,-8,252,13.9,95.6,20.8,211.48,-40,1.45,0.06,0,0.02,71,5.57,12.9,29.6,358
Krishca Strapping Solutions Ltd,KRISHCA,null,KRISHCA,479,396.95,Steel - Rolling,Steel,36.1,4.56,null,null,33.1,12.3,1.9,18.3,88.7,73.5,0,380,25.4,6.14,7.64,205,1,0.52,-11.1,null,null,62.6,null,31.7,null,5.17
Krishival Foods Ltd,KRISHIVAL,null,KRISHIVAL,674,302.45,Food - Processing - Others,FMCG,70.2,6.54,47.1,45.4,-8.95,5.53,15.5,40.6,31.5,20.5,-6,248,44.1,14.1,4.73,215,-53,0.05,0.69,0,11.5,37.2,-4.7,10.3,35.2,22.3
Krishna Defence & Allied Industries Ltd,KRISHNADEF,null,KRISHNADEF,1012,738.2,Diversified - Medium / Small,Aerospace & Defence,104,9.55,66.4,84.7,172,10.3,-0.91,22.6,-3.72,110,13,716,59,null,34.7,280,72,0.09,null,0,0,68.3,-31.7,12.5,75.9,14.6
Krishna Institute of Medical Sciences Ltd,KIMS,543308,KIMS,22980,574.3,Hospitals / Medical Services,Healthcare,72.7,8.9,11.8,-7.51,33.1,12.6,9.03,24.2,41,42.8,0,516,34.6,931,0.98,368,0,0.74,0.36,-0.91,4.69,38.8,-0.02,15.9,-2.7,2434
Kriti Industries (India) Ltd,KRITI,526423,KRITI,1185,238.81,Plastics - Others,Plastic products,42.4,1.4,1.93,557,284,7.8,12.8,4.57,28.2,74,2,224,16.9,100,7.8,94.5,13,0.85,0.6,0,0.38,66.8,0.42,17.9,437,155
Kriti Nutrients Ltd,KRITINUT,533210,KRITINUT,736,146.9,Solvent Extraction - Large,Edible Oil,15.7,1.12,-19,50.2,63.1,4.17,4.48,-7.26,26.1,49.5,14,144,10.2,44.2,12,70.97,61,0.07,0.04,0,0.02,66.7,0.02,32.9,48.1,58.1
Kritika Wires Ltd,KRITIKA,null,KRITIKA,583,21.9,Steel - Wires,Steel,52.1,1.17,57.4,74,-57.1,6.91,15.2,14.8,9.99,11.7,10,19.6,28.1,17.7,10.6,6.27,46,0.48,0.47,0,0,72.6,-0.34,14.1,76.6,14.4
Kronox Lab Sciences Ltd,KRONOX,544187,KRONOX,692,186.39,Chemicals - Speciality - Medium / Small,Chemicals,32.8,7.36,null,null,4.59,10.4,4.58,31.6,21.6,null,null,173,23.8,9.19,7.04,143.2,null,0,0.14,null,null,74.2,null,43.1,null,26.4
Krsnaa Diagnostics Ltd,KRSNAA,543328,KRSNAA,2663,824.65,Diagnostic Services,Healthcare,44.3,4.1,26.5,-3.84,-4.32,3.29,8.24,25.3,23.8,43.8,-5,744,15.5,null,1.29,561.35,-6,0.2,null,-4.5,-2.37,27.2,-0.63,8.72,-5.16,647
Krystal Integrated Services Ltd,KRYSTAL,544149,KRYSTAL,1119,800.7,Miscellaneous - Medium / Small,Miscellaneous,25.7,1.05,null,null,-3.43,2.98,-0.49,11.2,11.2,null,null,781,12.5,13,21.6,704,null,0.23,0.44,null,null,70,null,15,null,83
Ksolves India Ltd,KSOLVES,543599,KSOLVES,1227,1034.5,Computers - Software - Medium / Small,IT - Software,34.5,10.6,35.5,31.5,-4.79,51.5,1.09,1.72,-10.6,-12.4,-3,1035,24.9,1.02,29.5,1028,-11,0,0,0.08,-0.2,58.9,0,192,32.2,2.42
Kuantum Papers Ltd,KUANTUM,532937,KUANTUM,1253,143.64,Paper - Large,Paper,7.98,1.07,-12.6,-34.6,12.7,1.11,1.79,-4.04,-10.2,-6.88,-5,145,5.62,1428,28.2,141.9,-27,0.46,0.84,0,-0.24,70.3,0,17.4,-34.3,1468
Kwality Pharmaceuticals Ltd,null,539997,539997,804,775.1,Pharmaceuticals - Indian - Bulk Drugs & Formln M/S,Pharmaceuticals,25.2,2.51,29,82.8,96.9,3.61,-3.48,34.4,44,75.2,3,768,15,56.5,10.4,338.5,5,0.44,0.58,-0.01,0,54.8,0.09,15.1,17.9,139
L G Balakrishnan & Bros Ltd,LGBBROSLTD,500250,LGBBROSLTD,4344,1383.65,Auto Ancillaries - Others,Auto Ancillaries,16.2,1.83,7.11,12.9,-3.85,2.67,-0.75,8.25,10.2,19.6,-2,1376,8.95,541,12.1,1004.85,0,0.06,0.09,1.59,-1.3,33.8,-0.1,21.2,9.73,572
L T Foods Ltd,LTFOODS,532783,LTFOODS,15076,434.15,Food - Proccesing - Rice,FMCG,24.8,1.87,13.5,32.3,3.36,4.47,11.7,31.4,64.5,156,30,386,14.1,880,2.99,162.55,113,0.27,0.83,2.38,-0.6,51,0,20,36.7,1160
L&T Finance Ltd,LTF,533519,LTF,43677,175.22,Finance - Investment / Others,Finance,17.6,3.07,8.95,36.9,23.9,1.86,5.4,6.65,-3.66,16.1,-1,170,13.3,811,9.8,125.1,0,3.27,4.67,6.38,-6.56,66.4,0.27,8.4,2259,519
L&T Technology Services Ltd,LTTS,540115,LTTS,60408,5707.6,Computers - Software - Large,IT - Software,46.4,6.16,7.65,4.47,-8.06,11.3,2.25,9.6,17.8,5.32,-4,5629,28.2,1282,4.87,4184.95,-20,0.12,0.14,2.7,-0.85,73.7,-0.11,31,3.86,1613
LGB Forge Ltd,null,533007,LGBFORGE,238,10,Forgings - Medium / Small,"Castings, Forgings & Fastners",null,2.53,-10.4,40.1,115,11.8,-2.34,2.77,0.91,9.53,-8,10.8,-686,24.2,32.4,9.19,-11,1.47,0.37,0,0.01,73.8,-0.03,-4.92,21.8,12.1
LIC Housing Finance Ltd,LICHSGFIN,500253,LICHSGFIN,37446,680.75,Finance - Housing - Large,Finance,7.89,1.37,13,44.6,20.7,1.19,-2.74,3.42,-6.96,16.4,10,686,11.7,282,17.7,444.9,45,8.03,10.1,-3.61,6.18,45.2,0,8.59,49,360
LKP Finance Ltd,null,507912,507912,269,214.05,Finance - Small,Finance,4.6,3.02,65.5,59.1,35.1,0.75,-1.11,-2.97,54.5,30.6,13,217,3.98,1.55,20.4,97,46,0.24,0.18,-0.05,2.05,45.3,-18.3,17.7,72.4,1.56
LS Industries Ltd,null,514446,514446,14655,172.65,Textiles - Weaving,Textiles,null,44409,-26.7,-191,-692,240,27.6,178,null,null,null,113,-560,15,0,23.62,null,0.2,0,0,0,74.3,0,-4.17,-199,13.9
LTIMindtree Ltd,LTIM,540005,LTIM,190245,6423.45,Computers - Software - Large,IT - Software,41.7,5.29,5.01,2.49,3.13,9.53,4.5,15.5,27.6,23.7,-7,6069,26.6,1906,0.46,4628.9,-33,0.1,0.11,1.81,-0.93,68.6,-0.06,28.3,3.14,4981
La Opala RG Ltd,LAOPALA,526947,LAOPALA,4175,376.15,Glass - Containers / Others,Glass & Glass Products,33.9,11.9,-22.8,-6.82,0,4.9,4.78,21.1,18.6,20.7,-10,338,24.6,114,19.4,308.5,-48,0.01,0,1.64,-0.2,65.6,0,18.3,-17.6,197
La Tim Metal & Industries Ltd,null,505693,505693,222,17.08,Trading - Medium / Small,Trading,26.7,0.65,24.6,269,-49.4,4.02,2.46,9.7,6.68,1.3,12,16.9,15,0.27,12.9,12.22,0,0.92,0,-0.02,0,62,-0.46,14.1,288,20.4
Lagnam Spintex Ltd,LAGNAM,null,LAGNAM,225,127.36,Textiles - Others,Textiles,15.2,0.43,77.1,201,-78.4,2.06,3.14,-5.61,-8.89,14.9,9,127,11.6,149,27.5,65.2,44,3.47,2.62,0,0,68.5,0,7.41,253,354
Lakshmi Electrical Control Systems Ltd,null,504258,504258,353,1435.05,Electric Equipment - General - Medium / Small,Capital Goods - Electrical Equipment,36.5,1.19,-21,-55,-60.1,1.25,1.27,3.5,-5.79,-0.4,-2,1415,22,32.2,34,1326.9,-14,0.02,0.06,0,0,36.1,0,6.75,-54.8,30.9
Lakshmi Machine Works Ltd,LAXMIMACH,500252,LAXMIMACH,17311,16204.2,Textile machinery,Engineering,59.6,4.14,-15.2,-28.1,-83.3,6.4,2.06,7.94,0.46,17.1,-2,15685,34.7,701,8.94,12990,-14,0,0,-0.06,0.44,31.1,0,16.5,-31.3,972
Lakshmi Mills Company Ltd,null,502958,502958,500,7183.05,Textiles - Composite/Cotton/Blended/Fabric - M/S,Textiles,null,1.96,22,44.5,28.3,0.58,-2.88,21.3,54,85.3,2,6729,34.2,142,7.61,3821.1,11,0.16,0.17,-0.39,0.23,65,0.62,-0.88,35.4,60.1
Lancer Containers Lines Ltd,LANCER,539841,LANCER,1070,44.94,Transport - Road,Logistics,19,1.67,-16.6,3.11,-24.6,2.09,0.63,-6.92,-23.9,-32.9,-4,46.6,12.8,65,59.1,44.94,-15,0.28,0.69,2.71,-0.63,42.4,-11.5,15.8,-2.64,142
Lancor Holdings Ltd,LANCORHOL,509048,LANCORHOL,317,43.36,Construction - Housing - Medium / Small,Realty,35,2.17,24.8,2226,-3.33,1.64,3.61,8.43,-5.39,-12.7,-2,43,13.3,15,31.2,33.09,-9,0.69,1.39,0.74,1.56,51.7,-10.4,10.1,698,17.2
Landmark Cars Ltd,LANDMARK,543714,LANDMARK,2478,599.65,Trading - Medium / Small,Retail,46.8,0.72,4.58,-28,-68.6,4.61,2.22,9.32,-14.3,-16.1,-5,590,13.3,326,33.7,564,-20,1.16,1.89,2.06,-0.72,51.6,-1.5,10.3,-37,594
Larsen & Toubro Ltd,LT,500510,LT,503558,3662.25,Engineering - Turnkey Services,Infrastructure Developers & Operators,37.9,2.21,16.9,18.2,-31.2,5.83,2.35,2.63,-0.69,3.54,0,3631,17.6,40673,6.57,2905.1,-4,1.35,1.27,0.89,-2.44,0,0,14.6,13,40772
Last Mile Enterprises Ltd,null,526961,526961,1358,584.45,Construction - Factories / Offices / Commercial,Construction,301,387,-91.2,-9.78,-366,4.17,-2.81,-19.6,-32.5,-21.8,27,670,-461,2.2,40.4,190,120,0.35,150,0,16.7,34.4,-27.1,1.26,203,1.56
Latent View Analytics Ltd,LATENTVIEW,543398,LATENTVIEW,9919,481.5,Computers - Software - Medium / Small,IT - Software,60.1,14.8,18.7,5.1,-13.2,7.22,3.83,-2.73,-4.95,7.06,-1,487,43.9,30.4,16.3,402.45,-6,0.02,0.12,2.86,0.58,65.4,-0.35,14.3,8.42,27.5
Laurus Labs Ltd,LAURUSLABS,540222,LAURUSLABS,27203,504.55,Pharmaceuticals - Indian - Bulk Drugs & Formln M/S,Pharmaceuticals,183,5.38,-11.1,-73.4,-83.8,6.62,2.77,17.5,16,25.9,-3,473,36.8,2171,2.6,362.55,-16,0.63,0.57,3.41,3.16,27.2,-0.03,6.13,-73,3890
Laxmi Goldorna House Ltd,LGHL,null,LGHL,593,284.35,Construction - Factories / Offices / Commercial,Realty,68.4,3.1,null,null,-78.5,13,1.55,9.37,-14.6,-4.82,20,280,29.5,0.04,28.3,67.95,29,1.16,0.96,0,0,75,1.34,17.5,null,0.94
Laxmi Organic Industries Ltd,LXCHEM,543277,LXCHEM,8547,309.05,Chemicals - Organic - Large,Chemicals,73.4,2.99,3.22,18.8,-22.5,4.75,-1.33,13.9,22.7,33.4,-24,298,29.4,325,5.05,228.45,-109,0.08,0.14,0.61,0.57,69.5,-2.85,9.14,19,879
Le Merite Exports Ltd,LEMERITE,null,LEMERITE,489,208.25,Trading - Medium / Small,Trading,281,1.04,24.1,-23.9,-89.2,5.21,-0.81,4.54,78.1,228,3,203,52.7,null,2.57,41.65,18,0.98,null,0,0.22,73,0.22,5.2,-45,2.5
Le Travenues Technology Ltd,IXIGO,544192,IXIGO,6013,155.21,Travel Agencies,E-Commerce/App based Aggregator,122,8.92,null,null,102,10.6,0.55,-0.04,null,null,null,161,69.8,99.6,21.4,156.5,null,0.1,0.5,null,null,0,null,6.96,null,271
Leading Leasing Finance & Investment Company Ltd,null,540360,540360,262,5.95,Finance - Leasing And Diversified,Finance,198,41,64.7,-40.7,-105,3.13,9.98,48.8,67.1,201,0,5,52.3,0,0,1.92,5,7.76,6.35,0,0,0,0,3.68,-34.4,0.11
Lehar Footwears Ltd,null,532829,532829,394,223,Leather / Synthetic Footware - Medium / Small,Leather,59.2,2.04,-16.1,-6.73,95.1,5.14,-4.13,-15,66.3,75.9,0,238,23.9,58.3,16.6,127.7,0,0.66,0.56,0,0,72.9,1.91,8.69,-1.85,81
Lemon Tree Hotels Ltd,LEMONTREE,541233,LEMONTREE,10502,132.56,Hotels - Medium,Hotels & Restaurants,72.4,9.45,22.5,13,-76,10.9,2.43,11.4,-11.7,2.72,0,132,23.7,3192,16.1,108.75,-5,2.42,1.41,4.82,2.13,22.8,-0.8,12.6,7.77,3639
Liberty Shoes Ltd,LIBERTSHOE,526596,LIBERTSHOE,769,451.3,Leather / Synthetic Footware - Large,Leather,47.8,1.18,2.04,15.7,-6.43,3.67,-0.9,-10.6,21.2,72.8,3,467,14.3,178,18.7,251,15,0.7,0.66,0.03,0.64,58.5,0,9.02,48.7,160
Life Insurance Corporation of India,LICI,543526,LICI,650305,1028.15,Life Insurance,Insurance,15.6,0.74,8.36,-6.98,-23.8,7.85,-0.11,-2.76,-3.63,11.1,7,1055,14.1,null,15.9,606.5,34,0,null,0.11,0.11,96.5,0,0.82,-7.32,null
Likhitha Infrastructure Ltd,LIKHITHA,543240,LIKHITHA,1617,409.95,Construction - Civil / Turnkey - Medium / Small,Infrastructure Developers & Operators,24.3,3.54,22.2,5.9,-3.45,5.22,-0.55,8.01,-6.07,59.7,0,424,15,9.4,17.6,239.9,0,0,0,0,0.08,70,0,29.4,11.4,25.8
Linc Ltd,LINC,531241,LINC,1017,683.8,Printing & Stationery,Printing & Stationery,29,1.96,3.39,-13.1,-26.9,5.03,11.2,13.5,16.7,43.5,-6,631,14.9,67.8,24,485,-32,0.09,0.07,0.38,0.1,59.5,0.21,21.6,-13.5,111
Lincoln Pharmaceuticals Ltd,LINCOLN,531633,LINCOLN,1516,757.1,Pharmaceuticals - Indian - Formulations,Pharmaceuticals,15.5,2.56,13.4,27.4,27.3,2.56,-1.87,15.4,23,31.4,0,735,11,123,6.74,487.95,1,0,0.01,0.04,2.2,49.8,1.1,20.7,20,151
Linde India Ltd,LINDEINDIA,523457,LINDEINDIA,70944,8318.55,Industrial Gas,Chemicals,158,26.3,-1.21,12,7.86,20.4,12.8,15.4,-10.2,29.1,0,7454,85.5,1989,16.3,5484.55,0,0.01,0,-0.93,0.18,75,0,16.6,8.07,1822
Lloyds Engineering Works Ltd,LLOYDSENGG,539992,LLOYDSENGG,9449,82.55,Engineering - Light - General - Large,Capital Goods-Non Electrical Equipment,107,14.6,72.5,123,0.43,23,12.7,7.73,16.9,76,19,78.5,73.8,14,11.6,40.69,85,0.18,0.04,0.1,2.09,57.2,-3.39,21.5,102,77.5
Lloyds Enterprises Ltd,null,512463,512463,5300,41.66,Trading - Medium / Small,Trading,45.8,4.69,135,221,-67.4,3.18,4.52,14,23.8,43.8,-1,41,22.6,0,12.8,28.48,-7,0.06,0.01,-0.35,0.06,73.9,0,10.1,212,89.5
Lloyds Luxuries Ltd,LLOYDS,null,LLOYDS,242,102.5,Miscellaneous - Medium / Small,Miscellaneous,null,6,19.2,-86.7,38.5,3.34,-0.49,-2.15,-9.25,45,-1,105,-87,14.9,33.5,70,-8,0,-2.68,0,0,72.8,-0.5,-12.6,-58.2,18.4
Lloyds Metals & Energy Ltd,LLOYDSME,512455,LLOYDSME,41277,789.6,Metal - Others,Mining & Mineral products,29.6,5.92,54.4,33.7,101,10.2,3.93,6.65,9.09,40.1,0,768,20.5,362,2.4,523.7,0,0.01,0.57,1.25,1.7,63.5,-2.26,60.9,76.4,1235
Logica Infoway Ltd,null,543746,543746,436,255.05,Trading - Medium / Small,Retail,53.9,0.41,50.9,130,112,7.12,-0.41,2.04,25.8,45.9,4,259,27.5,0.64,18.8,90.02,24,1.76,1.4,0,0,73.6,-26.4,11.8,117,0.9
Lokesh Machines Ltd,LOKESHMACH,532740,LOKESHMACH,739,399.75,Machine Tools - Others,Capital Goods-Non Electrical Equipment,52.4,2.42,27,45.2,-78,3.77,-2.54,9.81,-6.85,28,43,374,19.1,116,16,190.9,185,0.6,0.61,0,-0.28,50.8,-1.64,10.2,61.5,171
Lords Chloro Alkali Ltd,LORDSCHLO,500284,LORDSCHLO,363,144.35,Chlor-Alkali,Chemicals,null,1.55,-11,-108,4000,2.21,-0.07,3.37,1.94,30.9,-14,145,55.6,121,22.8,115.9,-66,0.26,0.77,0,0,74.7,-0.06,-2.35,-111,135
Lorenzini Apparels Ltd,LAL,540952,LAL,523,32.6,Textiles - Processing,Textiles,81.5,9.39,null,null,481,24.9,10.8,37.8,34.7,34,32,25.8,38.5,2.22,3.52,14.68,134,0.73,0.48,0,0,61.9,-0.98,19.2,null,8.23
Lotus Chocolate Company Ltd,null,523475,523475,1835,1429.35,Food and Dairy Products - Indian - Medium / Small,FMCG,190,7.52,275,234,1161,-247,-14.8,-26.6,165,357,6,1920,157,1.49,45.2,225,24,0.01,8.98,0,0.01,72.1,0,-0.21,266,2.12
Lovable Lingerie Ltd,LOVABLE,533343,LOVABLE,236,159.23,Textiles - Others,Textiles,69.2,4.85,-45.9,1037,213,1.34,3.34,6.46,25.5,37,-21,169,49.1,23.7,17.8,116,-95,0.06,0,0,0,64,0,3.14,747,23.8
